text,label
"Congratulations! You have won a $1000 prize. Click here to claim your reward.","phishing"
"URGENT! Your bank account has been suspended. Verify your password immediately.","phishing"
"Your account requires verification. Click http://example.com/login to continue.","phishing"
"You have won a free gift. Click the link to claim your prize now!","phishing"
"Security alert! Confirm your bank account immediately by clicking this link.","phishing"
"Your password will expire today. Verify your account immediately.","phishing"
"Congratulations, you are the winner! Claim your free prize now.","phishing"
"URGENT: Your account has been locked. Click here to verify your identity.","phishing"
"Please confirm your login details to prevent your account from being suspended.","phishing"
"Your bank account has suspicious activity. Login immediately to secure your account.","phishing"
"Hi John, can you send me the assignment before 5 PM?","safe"
"Dear students, tomorrow's class will begin at 10 AM.","safe"
"Your Amazon order has been shipped and will arrive tomorrow.","safe"
"Meeting scheduled for tomorrow at 10 AM. Please bring the project report.","safe"
"Thank you for your payment. Your receipt is attached.","safe"
"Hi Sarah, are you free for lunch today?","safe"
"Your monthly electricity bill is now available in your account.","safe"
"Please find the project report attached to this email.","safe"
"Your appointment has been confirmed for Monday at 3 PM.","safe"
"Welcome to our newsletter. Here are this week's updates.","safe"
